"","x"
"ZNF48",0.0111161352656151
"SEPT1",0.0262219914584275
"NLRC5",0.0114795064938694
"WWOX",0.0546875362650212
"DYNLRB2",0.0275352919525695
"IRF8",0.045703938976573
"MYO19",0.018611808988302
"PIGW",0.00660296638074854
"GGNBP2",0.118248983614665
"DHRS11",0.00930623074022086
"MRM1",0.00704618794163299
"STARD3",0.0563669954342414
"PGAP3",0.0133547586390538
"ERBB2",0.0398892346211335
"ORMDL3",0.0546416572483086
"PSMD3",0.0877177229357341
"MED24",0.030525224724936
"THRA",0.322040773629737
"NR1D1",0.0217633410960027
"RAB5C",0.231107671227208
"STAT5A",0.0265506791338332
"STAT3",0.125551725849421
"MLX",0.0367402634837801
"MAP3K14",0.0120427866742685
"EFCAB13",0.00674077906182895
"NPEPPS",0.143668636060755
"TBKBP1",0.0116224927236423
"VMP1",0.157480864692046
"TUBD1",0.0213248865912418
"RNFT1",0.0179726288610673
"HEATR6",0.0135326130225827
"BCAS3",0.0463486211616386
"NT5C",0.073083294461007
"NUP85",0.0287239849685703
"GGA3",0.0421733605684832
"MRPS7",0.0818918090292347
"MIF4GD",0.0433176521287061
"SLC25A19",0.0109285756580176
"GRB2",0.189583190936631
"CASKIN2",0.0646887269674187
"TSEN54",0.0213887471686276
"MYO15B",0.0215161094207175
"MALT1",0.0265531680382983
"CD226",0.00751607160039638
"PLCG1",0.0490417210312594
"ZHX3",0.0931830923345029
"LPIN3",0.00498482415781155
"EMILIN3",0.00941981031849277
"CHD6",0.100478579943333
"TOX2",0.00502633361920914
"SLC12A5",0.0422417849779786
"NCOA5",0.0289002110837074
"CD40",0.0135325883299184
"B4GALT5",0.0528169438210671
"SLC9A8",0.0210543961396595
"PTPN1",0.0394318455631045
"BCAS1",0.795464034766363
"SLC2A4RG",0.0506533211922236
"SH3GL1",0.0563510790270151
"CHAF1A",0.00927778203139818
"UBXN6",0.122841566087529
"PLIN4",0.00598195104668538
"C3",0.991959312070742
"ICAM3",0.00886642720461802
"TYK2",0.0440321083384365
"PDE4A",0.0191831122996998
"KEAP1",0.120703729848033
"S1PR5",0.088339324582655
"ATG4D",0.0186867147319926
"KRI1",0.0290257904909358
"ILF3",0.141664980842726
