"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NUMB1",1.53477121836306e-211,0.31279891691967,0.28,0.127,4.1871628379381e-207,"microglia-macrophages","NUMB"
"ST6GALNAC3",9.05031807008219e-210,0.498990390027498,0.396,0.221,2.46910777587982e-205,"microglia-macrophages","ST6GALNAC3"
"JAK2",1.72425413631367e-193,0.262949217544489,0.218,0.089,4.70411013469096e-189,"microglia-macrophages","JAK2"
"ZFAND3",1.69753723120482e-192,0.427360199110205,0.452,0.291,4.63122107417299e-188,"microglia-macrophages","ZFAND3"
"RNF149",1.75481272634095e-192,0.287499568160831,0.223,0.093,4.78748008000339e-188,"microglia-macrophages","RNF149"
"MAP3K52",3.16220931537755e-191,0.320518341031662,0.315,0.158,8.62713945421303e-187,"microglia-macrophages","MAP3K5"
"PABPC1",1.53891176752455e-188,0.294759590577823,0.267,0.124,4.19845908416048e-184,"microglia-macrophages","PABPC1"
"SDCCAG8",7.49994625398809e-182,0.360166334175865,0.356,0.197,2.04613533701303e-177,"microglia-macrophages","SDCCAG8"
"SPTLC2",1.10567694333656e-176,0.281391949362137,0.25,0.114,3.0165078368108e-172,"microglia-macrophages","SPTLC2"
"RPS6KA3",2.5592993741389e-175,0.276589085256216,0.23,0.102,6.98228055252574e-171,"microglia-macrophages","RPS6KA3"
"PIAS1",2.61662623669035e-165,0.322750443598587,0.341,0.191,7.13867969893861e-161,"microglia-macrophages","PIAS1"
"NAIP",2.64349549808077e-163,0.293427153423517,0.29,0.148,7.21198441786397e-159,"microglia-macrophages","NAIP"
"ATF6",4.86124304853582e-163,0.255927171849626,0.229,0.105,1.32624432850154e-158,"microglia-macrophages","ATF6"
"PSAP",3.61462659884378e-159,0.401950496363342,0.392,0.244,9.8614242869656e-155,"microglia-macrophages","PSAP"
"RPL13",1.99312560760073e-141,0.287959975233896,0.25,0.126,5.43764528265632e-137,"microglia-macrophages","RPL13"
"ELL2",3.31688548387814e-138,0.382388177091109,0.337,0.202,9.04912697711635e-134,"microglia-macrophages","ELL2"
"UBE2E2",7.14202375585766e-136,0.431690143597369,0.535,0.419,1.94848692107309e-131,"microglia-macrophages","UBE2E2"
"STAG1",9.48282276194323e-136,0.320490669459845,0.36,0.221,2.58710370591335e-131,"microglia-macrophages","STAG1"
"GLDN",2.10592031818626e-132,0.408480981321245,0.237,0.12,5.74537181207576e-128,"microglia-macrophages","GLDN"
"TPT1",3.87395761689657e-131,0.316924063126244,0.215,0.105,1.05689311704172e-126,"microglia-macrophages","TPT1"
"TMSB10",4.78409694815926e-126,0.313115183714769,0.28,0.156,1.30519732939681e-121,"microglia-macrophages","TMSB10"
"MITF",5.2394947581001e-124,0.271562307115514,0.225,0.114,1.42943895990487e-119,"microglia-macrophages","MITF"
"KCNMA1",4.15525961936249e-115,0.42858726403708,0.465,0.345,1.13363792935448e-110,"microglia-macrophages","KCNMA1"
"ACAP2",1.33231796915992e-111,0.254404003659019,0.276,0.16,3.6348298834621e-107,"microglia-macrophages","ACAP2"
"SPIDR",5.62770295863384e-111,0.330149768501711,0.345,0.226,1.53534992117448e-106,"microglia-macrophages","SPIDR"
"ANKRD11",6.26861309342971e-110,0.259712896808177,0.279,0.163,1.71020302414949e-105,"microglia-macrophages","ANKRD11"
"DDX5",6.70566364582601e-109,0.285032544887992,0.308,0.189,1.82943915585425e-104,"microglia-macrophages","DDX5"
"ARL15",1.32989670028264e-102,0.278037114720104,0.305,0.189,3.62822417771109e-98,"microglia-macrophages","ARL15"
